executable,crate,package,manifest_path,project_file_path,documentation_path,release_included,posix_status,help,version,identity
basename,posix_tools_basename,Posix_Tools.Commands.Basename,tools/basename/alire.toml,tools/basename/posix_tools_basename.gpr,docs/commands/basename.md,true,conforming_with_extensions,true,true,true
cat,posix_tools_cat,Posix_Tools.Commands.Cat,tools/cat/alire.toml,tools/cat/posix_tools_cat.gpr,docs/commands/cat.md,true,conforming_with_extensions,true,true,true
cp,posix_tools_cp,Posix_Tools.Commands.Cp,tools/cp/alire.toml,tools/cp/posix_tools_cp.gpr,docs/commands/cp.md,true,conforming_with_extensions,true,true,true
date,posix_tools_date,Posix_Tools.Commands.Date,tools/date/alire.toml,tools/date/posix_tools_date.gpr,docs/commands/date.md,true,conforming_with_extensions,true,true,true
dd,posix_tools_dd,Posix_Tools.Commands.Dd,tools/dd/alire.toml,tools/dd/posix_tools_dd.gpr,docs/commands/dd.md,true,known_deviation,true,true,true
dirname,posix_tools_dirname,Posix_Tools.Commands.Dirname,tools/dirname/alire.toml,tools/dirname/posix_tools_dirname.gpr,docs/commands/dirname.md,true,conforming_with_extensions,true,true,true
echo,posix_tools_echo,Posix_Tools.Commands.Echo,tools/echo/alire.toml,tools/echo/posix_tools_echo.gpr,docs/commands/echo.md,true,conforming_with_extensions,true,true,true
env,posix_tools_env,Posix_Tools.Commands.Env,tools/env/alire.toml,tools/env/posix_tools_env.gpr,docs/commands/env.md,true,conforming_with_extensions,true,true,true
false,posix_tools_false,Posix_Tools.Commands.False_Command,tools/false/alire.toml,tools/false/posix_tools_false.gpr,docs/commands/false.md,true,conforming_with_extensions,true,true,true
find,posix_tools_find,Posix_Tools.Commands.Find,tools/find/alire.toml,tools/find/posix_tools_find.gpr,docs/commands/find.md,true,known_deviation,true,true,true
head,posix_tools_head,Posix_Tools.Commands.Head,tools/head/alire.toml,tools/head/posix_tools_head.gpr,docs/commands/head.md,true,conforming_with_extensions,true,true,true
ln,posix_tools_ln,Posix_Tools.Commands.Ln,tools/ln/alire.toml,tools/ln/posix_tools_ln.gpr,docs/commands/ln.md,true,conforming_with_extensions,true,true,true
mkdir,posix_tools_mkdir,Posix_Tools.Commands.Mkdir,tools/mkdir/alire.toml,tools/mkdir/posix_tools_mkdir.gpr,docs/commands/mkdir.md,true,conforming_with_extensions,true,true,true
mv,posix_tools_mv,Posix_Tools.Commands.Mv,tools/mv/alire.toml,tools/mv/posix_tools_mv.gpr,docs/commands/mv.md,true,conforming_with_extensions,true,true,true
printf,posix_tools_printf,Posix_Tools.Commands.Printf,tools/printf/alire.toml,tools/printf/posix_tools_printf.gpr,docs/commands/printf.md,true,conforming_with_extensions,true,true,true
pwd,posix_tools_pwd,Posix_Tools.Commands.Pwd,tools/pwd/alire.toml,tools/pwd/posix_tools_pwd.gpr,docs/commands/pwd.md,true,conforming_with_extensions,true,true,true
rm,posix_tools_rm,Posix_Tools.Commands.Rm,tools/rm/alire.toml,tools/rm/posix_tools_rm.gpr,docs/commands/rm.md,true,conforming_with_extensions,true,true,true
rmdir,posix_tools_rmdir,Posix_Tools.Commands.Rmdir,tools/rmdir/alire.toml,tools/rmdir/posix_tools_rmdir.gpr,docs/commands/rmdir.md,true,conforming_with_extensions,true,true,true
sort,posix_tools_sort,Posix_Tools.Commands.Sort,tools/sort/alire.toml,tools/sort/posix_tools_sort.gpr,docs/commands/sort.md,true,known_deviation,true,true,true
tail,posix_tools_tail,Posix_Tools.Commands.Tail,tools/tail/alire.toml,tools/tail/posix_tools_tail.gpr,docs/commands/tail.md,true,conforming_with_extensions,true,true,true
tee,posix_tools_tee,Posix_Tools.Commands.Tee,tools/tee/alire.toml,tools/tee/posix_tools_tee.gpr,docs/commands/tee.md,true,conforming_with_extensions,true,true,true
test,posix_tools_test,Posix_Tools.Commands.Test_Command,tools/test/alire.toml,tools/test/posix_tools_test.gpr,docs/commands/test.md,true,known_deviation,true,true,true
touch,posix_tools_touch,Posix_Tools.Commands.Touch,tools/touch/alire.toml,tools/touch/posix_tools_touch.gpr,docs/commands/touch.md,true,known_deviation,true,true,true
tr,posix_tools_tr,Posix_Tools.Commands.Tr,tools/tr/alire.toml,tools/tr/posix_tools_tr.gpr,docs/commands/tr.md,true,known_deviation,true,true,true
true,posix_tools_true,Posix_Tools.Commands.True_Command,tools/true/alire.toml,tools/true/posix_tools_true.gpr,docs/commands/true.md,true,conforming_with_extensions,true,true,true
uniq,posix_tools_uniq,Posix_Tools.Commands.Uniq,tools/uniq/alire.toml,tools/uniq/posix_tools_uniq.gpr,docs/commands/uniq.md,true,conforming_with_extensions,true,true,true
wc,posix_tools_wc,Posix_Tools.Commands.Wc,tools/wc/alire.toml,tools/wc/posix_tools_wc.gpr,docs/commands/wc.md,true,conforming_with_extensions,true,true,true
xargs,posix_tools_xargs,Posix_Tools.Commands.Xargs,tools/xargs/alire.toml,tools/xargs/posix_tools_xargs.gpr,docs/commands/xargs.md,true,conforming_with_extensions,true,true,true
